,noteId,classification,summary
0,1783179305159200982,,The House failed to pass a border protection law that was designed to go along with these other bills.  It was intentionally set with a higher 2/3rds threshold requirement and did not pass even though it had a majority.       https://sourcenm.com/2024/04/22/u-s-house-votes-down-border-bill-favored-by-conservatives/    
1,1783181538789605871,,"The United States has 50 States     https://data.census.gov/all/profiles?q=All%20States%20within%20United%20States,%20Puerto%20Rico,%20and%20the%20Island%20Areas%20South%20American%20Indian&amp;g=010XX00US"
2,1783182562279494134,,TikTok only mentions “ban” and chooses to ignore the the divestment portion of the bill     https://www.reuters.com/world/us/senators-hope-tiktok-will-remain-business-us-under-new-owner-2024-04-23/
3,1780256247847248236,,"Article headline and tweet do not accurately reflect the content of the titled article. The headline and tweet say the bill bans protections for workers, but the article says the bill only prevents local jurisdictions from setting their protections—an important difference.    https://civileats.com/2024/03/20/florida-banned-farmworker-heat-protections-a-groundbreaking-partnership-offers-a-solution/"
4,1799852710981988670,,"While Hitler died in April of 1945, the first free, post-war federal election in Germany didn't happen until 1949. And even then, it took place in a divided Germany. The first free election in a unified Germany occured in 1990.     https://en.wikipedia.org/wiki/1949_West_German_federal_election    https://en.wikipedia.org/wiki/1990_German_federal_election"
5,1817361605237313557,,There is no evidence that Ronald Reagan said this. The quote has been fact checked by the Ronald Reagan Presidential Foundation and several news sources:  https://x.com/RonaldReagan/status/1286100976181473282  https://www.reuters.com/article/world/fact-checkno-evidence-ronald-reagan-saiddemocrats-will-restrict-freedoms--idUSKCN24N23C/  https://www.usatoday.com/story/news/factcheck/2020/07/21/fact-check-ronald-reagan-didnt-say-democrats-would-restrict-freedoms/5483006002/
6,1817429637200269439,,"Vance didn't create a business for the United States, but rather created a venture capital firm for himself &amp; his investors. His venture firm was directly responsible for few jobs &amp; likely paid little tax (to Ohio/US) by using QSBS &amp; carried interest loopholes.    https://www.politico.com/news/2022/10/30/jd-vance-job-creator-ohio-senate-00064119   https://www.wsj.com/politics/elections/vp-pick-jd-vance-short-career-venture-capitalist-b3d941e1  https://www.investopedia.com/terms/q/qsbs-qualified-small-business-stock.asp  https://carta.com/learn/private-funds/venture-capital/taxes/#carried-interest"
7,1592778879885709312,,The name of the rocket is the Space Launch System (SLS). Artemis 1 is the name of the current un-crewed mission.    https://www.nasa.gov/artemis-1
8,1815397187695636869,,"Harris is voor het recht op abortus, maar de claim dat zij een wet wil die abortus wil toestaan tot het moment van geboorte is onjuist. Harris noemde deze door Republikeinen verzonnen claim 'Belachelijk'. https://eu.usatoday.com/story/news/politics/2023/09/10/harris-rejects-gop-democrats-abortion-rights-until-birth/70817196007/"
9,1821853887860551934,,De foto is van begin jaren negentig. https://www.gettyimages.nl/detail/nieuwsfoto%27s/women-sunbathing-on-ipanema-beach-rio-de-janeiro-circa-nieuwsfotos/80030228
10,1821899998956569058,,Uit ander onderzoek blijkt juist dat coronavaccins veilig en zeer effectief zijn.   https://scientias.nl/grootste-studie-ooit-toont-aan-hoe-ongelooflijk-effectief-de-coronavaccins-waren-en-zijn/  https://www.medischcontact.nl/actueel/laatste-nieuws/nieuwsartikel/real-world-evidence-bevestigt-vaccins-tegen-covid-19-veilig-en-effectief
11,1701837464359624879,,"This tweet is represented as news when, in fact, it's an opinion by the poster. Reading the details of the case provides additional context that explains why the sentence was handed out. The tweet implies punishment was political when the facts of the case say otherwise. https://apnews.com/article/owen-shroyer-infowars-capitol-riot-sentencing-11cb087e9716061591fd46b6861c4c1c"
12,1755467837345558718,,Martini Blue is an unreleased track by both NCT Haechan and NCT Taeil. Not just Haechan.    https://twitter.com/skyblue6104/status/1754537394513285135?t=hDqTOUISKgNNdOqCJtxOAA&amp;s=19
13,1761664490087866760,,The accused himself admitted he is guilty of wrong doing.    https://youtu.be/mu1-KuXMQKc?si=gawQPAYg9bvcrk4o
